date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:18	28268/28268	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202014%2005:11:37%20GMT	http://nit-it.com/locanda/index.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/index.html	(from )
20:01:21	86/86	---M--	200	added ('OK')	text/plain	date:Sat,%2013%20Sep%202014%2004:55:21%20GMT	http://nit-it.com/robots.txt		(from )
20:01:22	3345/3345	---M--	200	added ('OK')	text/css	date:Thu,%2021%20Aug%202014%2010:28:20%20GMT	http://nit-it.com/locanda/css/colorpicker.css	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/css/colorpicker.css	(from http://nit-it.com/locanda/index.html)
20:01:23	2564/2564	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Oct%202014%2009:37:14%20GMT	http://nit-it.com/locanda/css/style-switcher.css	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/css/style-switcher.css	(from http://nit-it.com/locanda/index.html)
20:01:26	109530/109530	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Oct%202014%2011:00:00%20GMT	http://nit-it.com/locanda/bootstrap/css/bootstrap.min.css	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/bootstrap/css/bootstrap.min.css	(from http://nit-it.com/locanda/index.html)
20:01:26	32838/32838	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Oct%202014%2016:38:12%20GMT	http://nit-it.com/locanda/css/style.css	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/css/style.css	(from http://nit-it.com/locanda/index.html)
20:01:26	13131/13131	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Oct%202014%2016:26:20%20GMT	http://nit-it.com/locanda/css/datepicker.css	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/css/datepicker.css	(from http://nit-it.com/locanda/index.html)
20:01:27	21984/21984	---MCZ	200	added ('OK')	text/css	etag:W/%22feda974a77ea5783b8be673f142b7c88%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	(from http://nit-it.com/locanda/index.html)
20:01:28	4789/4789	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Oct%202014%2000:19:16%20GMT	http://nit-it.com/locanda/css/flexslider.css	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/css/flexslider.css	(from http://nit-it.com/locanda/index.html)
20:01:29	37447/37447	---M--	200	added ('OK')	text/css	date:Fri,%2016%20May%202014%2022:39:56%20GMT	http://nit-it.com/locanda/css/hover-min.css	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/css/hover-min.css	(from http://nit-it.com/locanda/index.html)
20:01:29	19888/19888	---M--	200	added ('OK')	text/css	date:Sat,%2019%20Jan%202013%2019:06:46%20GMT	http://nit-it.com/locanda/css/prettyPhoto.css	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/css/prettyPhoto.css	(from http://nit-it.com/locanda/index.html)
20:01:29	21259/21259	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202014%2005:15:30%20GMT	http://nit-it.com/locanda/booking.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/booking.html	(from http://nit-it.com/locanda/index.html)
20:01:31	28441/28441	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202014%2005:17:30%20GMT	http://nit-it.com/locanda/index-blue.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/index-blue.html	(from http://nit-it.com/locanda/index.html)
20:01:32	28402/28402	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202014%2005:19:17%20GMT	http://nit-it.com/locanda/index-red.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/index-red.html	(from http://nit-it.com/locanda/index.html)
20:01:33	28453/28453	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202014%2005:18:36%20GMT	http://nit-it.com/locanda/index-green.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/index-green.html	(from http://nit-it.com/locanda/index.html)
20:01:34	28328/28328	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202014%2005:19:50%20GMT	http://nit-it.com/locanda/index-whiteheader.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/index-whiteheader.html	(from http://nit-it.com/locanda/index.html)
20:01:35	28835/28835	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202014%2005:18:05%20GMT	http://nit-it.com/locanda/index-boxed.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/index-boxed.html	(from http://nit-it.com/locanda/index.html)
20:01:36	17487/17487	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202014%2005:13:38%20GMT	http://nit-it.com/locanda/accomodation.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/accomodation.html	(from http://nit-it.com/locanda/index.html)
20:01:36	15603/15603	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202014%2005:13:05%20GMT	http://nit-it.com/locanda/about.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/about.html	(from http://nit-it.com/locanda/index.html)
20:01:37	16660/16660	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202014%2005:16:26%20GMT	http://nit-it.com/locanda/facilities.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/facilities.html	(from http://nit-it.com/locanda/index.html)
20:01:38	16502/16502	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202014%2005:16:57%20GMT	http://nit-it.com/locanda/gallery.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/gallery.html	(from http://nit-it.com/locanda/index.html)
20:01:38	16686/16686	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202014%2005:14:37%20GMT	http://nit-it.com/locanda/blog.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/blog.html	(from http://nit-it.com/locanda/index.html)
20:01:39	16764/16764	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202014%2005:29:18%20GMT	http://nit-it.com/locanda/contact.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/contact.html	(from http://nit-it.com/locanda/index.html)
20:01:39	14013/14013	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Oct%202014%2023:43:24%20GMT	http://nit-it.com/locanda/images/logo.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/logo.png	(from http://nit-it.com/locanda/index.html)
20:01:56	91580/91580	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Oct%202014%2020:39:16%20GMT	http://nit-it.com/locanda/images/slide4.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/slide4.jpg	(from http://nit-it.com/locanda/index.html)
20:01:56	99284/99284	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Oct%202014%2020:39:04%20GMT	http://nit-it.com/locanda/images/slide3.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/slide3.jpg	(from http://nit-it.com/locanda/index.html)
20:01:57	127979/127979	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Oct%202014%2020:38:38%20GMT	http://nit-it.com/locanda/images/slide1.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/slide1.jpg	(from http://nit-it.com/locanda/index.html)
20:01:57	128204/128204	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Oct%202014%2020:38:50%20GMT	http://nit-it.com/locanda/images/slide2.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/slide2.jpg	(from http://nit-it.com/locanda/index.html)
20:02:00	15125/15125	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202014%2005:20:15%20GMT	http://nit-it.com/locanda/single-facilities.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/single-facilities.html	(from http://nit-it.com/locanda/index.html)
20:02:02	6015/6015	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Sep%202014%2021:03:38%20GMT	http://nit-it.com/locanda/images/zoom-icon.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/zoom-icon.png	(from http://nit-it.com/locanda/index.html)
20:02:04	15873/15873	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202014%2005:20:41%20GMT	http://nit-it.com/locanda/single-room.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/single-room.html	(from http://nit-it.com/locanda/index.html)
20:02:09	71143/71143	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Oct%202014%2020:30:06%20GMT	http://nit-it.com/locanda/images/box_img1.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/box_img1.jpg	(from http://nit-it.com/locanda/index.html)
20:02:09	36710/36710	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Oct%202014%2020:30:38%20GMT	http://nit-it.com/locanda/images/box_img3.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/box_img3.jpg	(from http://nit-it.com/locanda/index.html)
20:02:09	44675/44675	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Oct%202014%2020:30:20%20GMT	http://nit-it.com/locanda/images/box_img2.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/box_img2.jpg	(from http://nit-it.com/locanda/index.html)
20:02:13	18570/18570	---M--	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202014%2005:14:07%20GMT	http://nit-it.com/locanda/blog-single.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/blog-single.html	(from http://nit-it.com/locanda/index.html)
20:02:18	56351/56351	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Oct%202014%2002:08:20%20GMT	http://nit-it.com/locanda/images/acc_img3.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/acc_img3.jpg	(from http://nit-it.com/locanda/index.html)
20:02:19	41119/41119	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Oct%202014%2020:32:06%20GMT	http://nit-it.com/locanda/images/pic1.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/pic1.jpg	(from http://nit-it.com/locanda/index.html)
20:02:20	6630/6630	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Sep%202014%2005:31:10%20GMT	http://nit-it.com/locanda/images/zoom-icon2.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/zoom-icon2.png	(from http://nit-it.com/locanda/index.html)
20:02:21	68458/68458	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Oct%202014%2002:45:44%20GMT	http://nit-it.com/locanda/images/acc_img1.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/acc_img1.jpg	(from http://nit-it.com/locanda/index.html)
20:02:26	37665/37665	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Oct%202014%2020:32:28%20GMT	http://nit-it.com/locanda/images/pic3.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/pic3.jpg	(from http://nit-it.com/locanda/index.html)
20:02:27	46601/46601	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Oct%202014%2020:32:18%20GMT	http://nit-it.com/locanda/images/pic2.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/pic2.jpg	(from http://nit-it.com/locanda/index.html)
20:02:27	37903/37903	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Oct%202014%2020:32:40%20GMT	http://nit-it.com/locanda/images/pic4.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/pic4.jpg	(from http://nit-it.com/locanda/index.html)
20:02:36	26465/26465	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Sep%202014%2015:09:38%20GMT	http://nit-it.com/locanda/images/news1.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/news1.jpg	(from http://nit-it.com/locanda/index.html)
20:02:37	43976/43976	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Oct%202014%2020:32:52%20GMT	http://nit-it.com/locanda/images/pic5.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/pic5.jpg	(from http://nit-it.com/locanda/index.html)
20:02:37	40796/40796	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Oct%202014%2020:33:02%20GMT	http://nit-it.com/locanda/images/pic6.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/pic6.jpg	(from http://nit-it.com/locanda/index.html)
20:02:40	24811/24811	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Sep%202014%2015:22:04%20GMT	http://nit-it.com/locanda/images/gal_pic1.jpg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/gal_pic1.jpg	(from http://nit-it.com/locanda/index.html)
